"identifier","name","thumbnail","description","mimetype","url","media","agegroup","domain","curriculargoal","competencies","language","category","sourceorg","audience","keywords","status","learningoutcomes","createdon","lastupdatedon"
"do_31373478164725760017480","अक्षर अ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373478164725760017480/artifact/do_31383901054337024011800_1689332342008_flash-cards-icon.thumb.jpg",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373478164725760017480/akssr-a.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373478164725760017480/akssr-a.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373478550228992017481","अक्षर आ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373478550228992017481/artifact/do_31383901195135385611639_1689332513786_flash-cards-icon.thumb.jpg",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373478550228992017481/akssr-aa.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373478550228992017481/akssr-aa.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373478901098905617483","अक्षर इ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373478901098905617483/artifact/do_31383901314719744011801_1689332659807_flash-cards-icon.thumb.jpg",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373478901098905617483/akssr-i.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373478901098905617483/akssr-i.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373479143867187217484","अक्षर ई","https://obj.diksha.gov.in/ntp-content-production/content/do_31373479143867187217484/artifact/do_31383901440999424011640_1689332813888_flash-cards-icon.thumb.jpg",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373479143867187217484/akssr-ii.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373479143867187217484/akssr-ii.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373479468553011217487","अक्षर उ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373479468553011217487/artifact/do_3138410976650362881196_1689587118061_flashcard-thumbnail.thumb.png",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373479468553011217487/akssr-u.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373479468553011217487/akssr-u.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373479675530444817489","अक्षर ऊ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373479675530444817489/artifact/do_3138410983730135041249_1689587204087_flashcard-thumbnail.thumb.png",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373479675530444817489/akssr-uu.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373479675530444817489/akssr-uu.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373480464843571214010","अक्षर ए","https://obj.diksha.gov.in/ntp-content-production/content/do_31373480464843571214010/artifact/do_3138410990241546241251_1689587284473_flashcard-thumbnail.thumb.png",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480464843571214010/akssr-e.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480464843571214010/akssr-e.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373480599316889614013","अक्षर ऐ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373480599316889614013/artifact/do_3138410997052620801197_1689587366713_flashcard-thumbnail.thumb.png",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480599316889614013/akssr-ai.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480599316889614013/akssr-ai.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373480794085785614018","अक्षर ओ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373480794085785614018/artifact/do_3138411004835758081254_1689587461936_flashcard-thumbnail.thumb.png",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480794085785614018/akssr-o.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480794085785614018/akssr-o.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
"do_31373480923797094417505","अक्षर औ","https://obj.diksha.gov.in/ntp-content-production/content/do_31373480923797094417505/artifact/do_3138411010647490561255_1689587532652_flashcard-thumbnail.thumb.png",,"application/pdf","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480923797094417505/akssr-au.pdf","[{""mimetype"":""application/pdf"",""url"":""https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31373480923797094417505/akssr-au.pdf""}]",,,,,"Hindi","Jaadui Pitara Box","NCERT","{Parents}",,"Live",,"NOW()",
